Country,GDP per capita (current US$),Human Development Index (HDI) ,Life expectancy at birth,Mean years of schooling,"Total Population, as of 1 July (thousands)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)","Life Expectancy at Age 15, both sexes (years)","Life Expectancy at Age 65, both sexes (years)","Life Expectancy at Age 80, both sexes (years)","Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Serbia,9232.96,0.80,74.19,11.37,7296.77,42.90,-70.59,-9.68,-70.36,-0.96,,67.61,2.70,9.27,1.53,0.73,107.00,138.20,18.94,74.19,59.66,13.83,6.05,0.30,4.42,67.35,0.39,5.70,17.42,112.83,34.82,107.10,0.24,0.03
Montenegro,9465.96,0.83,76.34,12.18,627.86,38.19,-0.59,-0.94,-0.69,-0.11,,6.97,0.19,11.09,1.69,0.81,107.30,7.56,12.03,76.34,61.50,15.79,7.16,0.01,0.84,6.96,0.01,1.46,13.93,103.80,32.55,101.79,-0.10,-0.16
Türkiye,9743.21,0.84,76.03,8.63,84775.40,30.93,702.19,8.28,632.46,0.75,92.92,1244.78,51.90,14.68,1.89,0.91,105.10,542.60,6.40,76.03,61.76,15.72,6.67,9.55,7.66,1236.53,11.30,8.99,20.77,102.25,31.82,93.52,-69.73,-0.82
Guyana,9994.65,0.71,65.67,8.62,804.57,25.48,8.32,10.31,4.01,0.50,,16.38,2.40,20.30,2.40,1.13,103.70,8.06,9.99,65.67,52.69,12.59,6.27,0.37,22.61,16.04,0.45,27.54,88.98,296.44,131.00,274.34,-4.32,-5.35
Maldives,10076.32,0.75,79.92,7.32,521.46,30.59,5.76,11.07,6.94,1.33,52.08,7.34,0.11,14.09,1.69,0.82,104.90,1.57,3.02,79.92,65.45,17.68,7.59,0.04,5.09,7.31,0.04,6.01,14.78,53.77,18.16,47.36,1.19,2.28
Mexico,10359.15,0.76,70.21,9.22,126705.14,29.01,690.64,5.45,637.99,0.50,137.53,1882.36,292.93,14.86,1.82,0.87,103.90,1191.72,9.41,70.21,56.34,14.59,6.96,21.47,11.35,1863.71,25.90,13.55,63.26,222.85,100.80,210.00,-52.65,-0.42
Kazakhstan,10373.79,0.81,69.36,12.35,19196.47,29.53,216.99,11.30,198.07,1.03,67.17,413.48,13.90,21.54,3.08,1.47,106.50,196.49,10.23,69.36,55.17,12.32,5.55,3.68,8.86,410.30,4.10,9.91,46.32,207.45,88.20,197.88,-18.92,-0.99
Argentina,10650.86,0.84,75.39,11.15,45276.78,31.30,223.96,4.95,226.31,0.50,,629.39,66.24,13.90,1.89,0.90,105.20,405.43,8.96,75.39,61.33,16.60,8.27,5.85,9.28,624.31,6.86,10.78,39.10,130.54,53.76,119.41,2.34,0.05
Saint Lucia,10916.23,0.72,71.11,8.55,179.65,33.13,0.21,1.19,0.20,0.11,,2.06,0.24,11.49,1.40,0.67,103.10,1.85,10.30,71.11,57.34,13.65,5.66,0.02,11.82,2.04,0.03,14.43,50.74,178.85,73.90,164.26,0.00,0.00
Malaysia,11134.62,0.80,74.88,10.65,33573.87,29.90,308.88,9.21,355.05,1.06,65.52,511.31,12.15,15.24,1.80,0.86,106.60,202.44,6.03,74.88,60.62,15.32,6.96,3.75,7.33,508.07,4.41,8.61,25.82,124.08,42.99,115.21,46.17,1.38
Nauru,11632.69,,63.62,,12.51,20.31,0.26,20.93,0.20,1.56,44.46,0.35,0.04,27.56,3.52,1.59,107.20,0.08,6.63,63.62,50.33,12.44,5.79,0.01,15.31,0.34,0.01,18.98,127.74,344.61,187.51,325.89,-0.07,-5.26
Bulgaria,12219.34,0.80,71.80,11.41,6885.87,44.53,-95.78,-13.90,-104.49,-1.52,,58.11,5.88,8.44,1.59,0.76,106.00,153.89,22.34,71.80,57.33,13.74,6.08,0.30,5.13,57.86,0.36,6.17,33.27,175.83,66.82,169.45,-8.72,-1.27
Russian Federation,12532.05,0.82,69.42,12.77,145102.76,38.81,-1061.08,-7.32,-740.48,-0.51,,1397.46,53.69,9.64,1.49,0.71,105.70,2458.54,16.96,69.42,54.87,13.99,6.46,5.43,3.87,1392.82,7.07,4.89,62.87,245.81,126.34,240.68,320.62,2.21
Costa Rica,12604.05,0.81,77.02,8.80,5153.96,32.89,24.12,4.68,26.21,0.51,136.18,61.18,6.71,11.87,1.53,0.74,104.40,37.06,7.19,77.02,62.71,17.24,7.11,0.40,6.53,60.83,0.47,7.63,34.77,109.63,50.08,101.41,2.08,0.40
China,12617.51,0.77,78.21,7.60,1425893.47,37.95,264.04,0.19,63.84,0.00,,10881.57,404.52,7.63,1.16,0.54,111.80,10617.53,7.45,78.21,63.93,17.68,7.85,62.58,5.65,10828.53,81.17,6.86,26.20,89.89,35.15,81.22,-200.19,-0.14
Palau,12921.83,0.77,66.02,12.49,18.02,35.71,0.05,2.51,0.05,0.30,,0.27,0.03,15.16,2.41,1.10,107.70,0.23,12.65,66.02,52.55,13.49,6.35,0.00,14.71,0.27,0.01,17.33,105.51,303.01,159.07,286.05,0.00,0.17
Seychelles,12963.06,0.79,71.29,10.28,106.47,32.52,0.69,6.46,0.83,0.78,88.64,1.64,0.18,15.43,2.35,1.13,103.60,0.96,8.97,71.29,57.46,14.46,6.63,0.02,11.61,1.63,0.02,13.64,60.49,191.34,88.48,177.70,0.15,1.37
Romania,14946.62,0.82,74.18,11.28,19328.56,41.87,-118.87,-6.15,-131.57,-0.68,,195.37,18.31,10.11,1.75,0.84,105.40,314.23,16.25,74.19,59.75,14.62,6.85,1.06,5.42,194.45,1.31,6.64,21.47,130.99,41.07,124.25,-12.72,-0.66
Panama,15491.29,0.81,76.22,10.54,4351.27,28.83,50.55,11.63,56.03,1.29,53.82,76.93,12.23,17.69,2.33,1.10,105.60,26.38,6.07,76.22,62.77,18.63,9.30,1.00,13.04,76.05,1.33,17.16,59.17,141.81,66.78,123.86,5.47,1.26
Trinidad and Tobago,16056.30,0.81,72.97,11.61,1525.66,35.46,3.90,2.56,6.54,0.43,,17.81,1.82,11.69,1.63,0.78,104.10,13.92,9.13,72.97,59.36,16.26,8.13,0.26,14.61,17.59,0.30,16.73,54.89,180.55,77.51,164.65,2.63,1.73
Chile,16240.61,0.86,78.94,10.93,19493.18,34.86,84.79,4.36,198.49,1.02,68.09,229.12,14.44,11.79,1.54,0.74,104.20,144.33,7.43,78.94,64.48,18.99,9.14,1.07,4.69,228.19,1.29,5.60,27.84,104.00,43.92,97.76,113.71,5.85
American Samoa,16653.71,,,,45.04,27.63,0.48,10.39,-1.18,-2.62,,0.79,0.06,17.18,2.27,1.09,106.00,0.31,6.79,72.54,58.43,13.74,5.73,0.01,7.90,0.78,0.01,10.68,34.78,148.79,57.11,138.05,-1.65,-35.90
Antigua and Barbuda,17178.54,0.79,78.50,9.29,93.22,34.67,0.54,5.75,0.54,0.58,120.34,1.13,0.11,12.12,1.58,0.77,103.20,0.59,6.37,78.50,64.06,17.74,8.53,0.01,5.00,1.12,0.01,6.18,22.00,84.16,30.69,77.36,0.00,0.00
Barbados,17507.47,0.79,77.57,9.85,281.20,38.90,0.51,1.83,0.48,0.17,,3.05,0.38,10.83,1.63,0.79,103.50,2.53,9.01,77.57,63.62,18.04,7.10,0.03,10.76,3.02,0.04,11.84,38.13,116.02,51.51,103.75,-0.03,-0.10
Croatia,17809.03,0.86,77.58,12.19,4060.14,43.73,-27.53,-6.77,-37.93,-0.93,,34.73,0.82,8.54,1.45,0.70,106.00,62.26,15.32,77.58,63.02,16.43,7.36,0.14,3.88,34.62,0.18,5.00,13.74,82.69,24.22,77.42,-10.40,-2.56
Uruguay,17924.00,0.81,75.44,8.98,3426.26,35.22,-5.79,-1.69,-7.29,-0.21,,35.89,4.30,10.47,1.49,0.72,105.60,41.68,12.16,75.44,60.95,16.89,8.48,0.17,4.71,35.75,0.20,5.59,40.25,140.18,64.83,134.13,-1.49,-0.43
Curaçao,17980.00,,,,190.34,35.95,0.23,1.20,0.73,0.38,,2.17,0.15,11.40,1.65,0.79,104.80,1.94,10.20,75.44,61.38,15.85,6.94,0.02,8.26,2.15,0.02,9.84,32.89,116.70,44.06,105.28,0.50,2.64
Saint Kitts and Nevis,18035.39,0.78,71.68,8.66,47.61,34.05,0.09,1.94,0.01,0.01,,0.58,0.06,12.13,1.53,0.73,103.70,0.49,10.18,71.68,57.70,14.58,6.54,0.01,8.48,0.57,0.01,11.00,53.77,185.70,82.46,173.65,-0.09,-1.89
Poland,18050.28,0.88,76.46,13.16,38307.73,40.87,-139.11,-3.63,-142.08,-0.37,,363.43,8.50,9.49,1.46,0.70,105.90,502.54,13.12,76.46,61.82,16.43,7.88,1.27,3.48,362.34,1.48,4.03,22.00,112.61,45.14,108.27,-2.97,-0.08
Hungary,18753.05,0.85,74.53,12.25,9709.79,42.74,-62.35,-6.43,-42.48,-0.44,,91.90,5.26,9.47,1.58,0.76,105.80,154.25,15.90,74.53,59.90,15.39,7.33,0.31,3.40,91.63,0.38,4.10,21.21,142.61,45.17,138.19,19.87,2.05
Oman,19509.47,0.82,72.54,11.65,4520.47,28.76,66.29,14.62,45.62,1.01,68.70,83.50,1.25,18.42,2.62,1.26,104.30,17.21,3.80,72.54,58.46,13.15,5.25,0.77,9.35,82.82,0.93,11.14,32.18,132.54,45.26,121.32,-20.66,-4.56
French Polynesia,20230.24,,,,304.03,32.98,2.25,7.38,1.87,0.62,112.71,3.88,0.37,12.76,1.70,0.82,105.90,1.64,5.38,79.49,65.07,17.98,8.57,0.02,5.54,3.86,0.03,6.42,13.74,66.96,16.77,60.02,-0.38,-1.24
Greece,20310.68,0.89,80.11,11.41,10445.37,44.74,-56.70,-5.43,-71.51,-0.69,,79.07,2.22,7.57,1.37,0.66,106.40,135.77,12.99,80.11,65.48,18.97,8.70,0.28,3.47,78.84,0.32,3.99,16.25,79.12,28.52,74.81,-14.81,-1.42
Saint Martin (French part),20320.72,,,,31.95,38.18,0.33,10.14,-0.62,-1.93,,0.49,0.02,15.05,2.42,1.17,104.00,0.16,4.91,80.38,66.24,18.96,8.55,0.00,8.12,0.48,0.01,9.37,20.38,66.32,21.25,56.12,-0.95,-29.24
Latvia,20930.40,0.86,73.58,13.25,1873.92,43.59,-19.07,-10.16,-25.88,-1.38,,17.02,0.50,9.07,1.58,0.76,106.60,36.09,19.23,73.58,58.95,15.17,7.16,0.05,3.15,16.98,0.07,3.97,30.36,161.63,66.53,157.26,-6.82,-3.63
Slovakia,21768.15,0.85,74.91,12.91,5447.62,40.57,-18.12,-3.33,-16.37,-0.30,,54.35,3.37,9.98,1.57,0.76,105.40,72.47,13.31,74.91,60.42,15.38,6.97,0.26,4.76,54.13,0.32,5.81,24.34,128.29,46.45,122.18,1.75,0.32
Turks and Caicos Islands,23158.64,,,,45.11,37.35,0.15,3.24,0.83,1.84,37.67,0.56,0.02,12.48,1.67,0.80,104.90,0.41,9.24,74.59,60.81,15.37,6.60,0.01,11.87,0.55,0.01,14.19,35.20,124.56,44.14,109.91,0.68,15.23
Lithuania,23849.62,0.88,73.72,13.50,2786.65,43.69,-24.11,-8.64,-35.97,-1.29,,26.86,0.64,9.62,1.62,0.78,105.20,50.98,18.25,73.72,59.05,15.76,7.41,0.08,3.00,26.79,0.09,3.40,37.01,168.62,76.88,164.76,-11.85,-4.25
Saudi Arabia,24315.62,0.88,76.94,11.31,35950.40,29.78,526.20,14.61,372.31,1.04,66.91,629.34,15.88,17.47,2.43,1.17,105.10,103.14,2.86,76.94,62.57,16.66,7.25,3.64,5.74,626.22,4.38,6.90,21.85,101.77,34.47,94.09,-153.88,-4.27
Portugal,24661.17,0.87,81.04,9.58,10290.10,45.00,-43.07,-4.19,-15.76,-0.15,,80.48,1.94,7.83,1.36,0.66,105.30,123.55,12.02,81.04,66.37,19.72,8.94,0.22,2.67,80.30,0.28,3.34,14.71,74.75,27.30,70.92,27.30,2.66
Czechia,26822.51,0.89,77.73,12.87,10510.75,42.61,-30.11,-2.87,-26.49,-0.25,,103.95,2.32,9.89,1.70,0.82,105.20,134.06,12.76,77.73,63.01,16.90,7.67,0.25,2.38,103.74,0.31,2.89,17.15,93.39,33.61,89.94,3.62,0.35
Bahrain,26850.00,0.88,78.76,11.05,1463.27,32.75,13.86,9.45,4.72,0.32,,17.50,0.34,11.93,1.81,0.88,103.90,3.64,2.48,78.76,64.35,16.99,7.08,0.10,5.58,17.42,0.12,6.71,15.40,65.23,20.02,58.03,-9.15,-6.24
Estonia,27943.70,0.89,77.14,13.55,1328.70,41.47,-5.19,-3.91,-2.20,-0.17,,13.64,0.28,10.28,1.68,0.81,106.10,18.83,14.19,77.14,62.35,17.04,8.23,0.02,1.44,13.62,0.03,1.87,21.17,108.79,45.40,106.23,3.00,2.26
Bahamas,28260.43,0.81,71.60,12.64,407.91,32.45,1.00,2.46,1.48,0.36,,4.67,0.43,11.45,1.39,0.67,102.80,3.66,8.99,71.60,57.59,15.41,7.40,0.05,10.26,4.62,0.06,11.87,59.69,207.72,98.24,196.49,0.49,1.19
Aruba,29127.76,,,,106.54,41.20,-0.43,-4.04,0.07,0.07,,0.76,0.05,7.19,1.18,0.57,104.30,1.19,11.24,74.63,60.89,15.23,6.20,0.01,12.80,0.76,0.01,14.83,36.72,118.83,44.17,103.60,0.50,4.72
Slovenia,29331.06,0.92,80.69,12.80,2119.41,43.20,-3.80,-1.80,0.76,0.04,,19.15,0.21,9.04,1.63,0.78,106.50,22.95,10.84,80.69,65.96,19.04,8.75,0.04,1.93,19.12,0.05,2.36,13.66,67.25,25.70,64.04,4.57,2.16
Spain,30488.82,0.91,83.01,10.61,47486.94,43.88,-96.47,-2.04,178.55,0.38,,357.65,7.45,7.55,1.28,0.62,106.20,454.12,9.59,83.01,68.31,21.06,9.94,0.88,2.47,356.90,1.07,2.99,11.55,57.10,18.99,53.66,275.02,5.81
Brunei Darussalam,31448.91,0.83,74.64,9.18,445.37,31.82,3.83,8.59,3.63,0.82,84.95,6.15,0.16,13.80,1.78,0.84,107.90,2.32,5.21,74.64,60.64,15.61,6.82,0.06,9.23,6.10,0.07,11.08,37.22,131.10,51.75,119.18,-0.19,-0.43
Sint Maarten (Dutch part),31711.61,,,,44.04,46.49,0.00,-0.06,0.25,0.57,121.18,0.34,0.06,7.66,1.58,0.76,103.90,0.34,7.72,73.97,60.43,14.97,6.17,0.01,14.58,0.33,0.01,16.95,38.49,128.24,44.34,110.62,0.21,4.83
Kuwait,32324.84,0.83,78.67,7.33,4250.11,38.34,32.01,7.50,-4.83,-0.11,,44.41,0.60,10.41,2.11,1.02,104.80,12.40,2.91,78.67,64.45,16.96,7.16,0.34,7.61,44.12,0.42,9.08,15.24,63.60,16.06,54.17,-36.84,-8.64
Puerto Rico,32601.57,,,,3256.03,44.03,-6.37,-1.95,-13.77,-0.42,,26.55,1.72,8.14,1.29,0.62,105.30,32.91,10.10,80.16,65.82,21.07,11.34,0.18,6.72,26.39,0.20,7.51,36.05,113.75,51.62,106.34,-7.41,-2.27
Cyprus,32745.84,0.90,81.20,12.44,1244.19,37.59,3.80,3.06,5.78,0.47,,12.82,0.21,10.31,1.32,0.64,106.50,9.02,7.26,81.20,66.46,19.07,8.83,0.03,2.30,12.80,0.04,2.71,9.91,57.08,18.53,54.05,2.00,1.61
Malta,34881.29,0.92,83.78,12.21,526.75,39.01,0.85,1.62,11.25,2.14,32.44,4.66,0.12,8.94,1.18,0.57,106.80,3.82,7.32,83.78,69.17,20.96,10.29,0.02,3.71,4.65,0.02,4.27,7.86,37.52,9.30,32.88,10.41,19.96
Republic of Korea,35142.26,0.93,83.70,12.51,51830.14,43.35,-45.67,-0.88,-2.23,0.00,,289.01,2.52,5.58,0.88,0.43,105.70,334.68,6.46,83.70,68.99,21.47,9.79,0.69,2.37,288.42,0.87,2.92,13.48,53.65,22.31,50.23,43.44,0.84
Guam,35904.86,,,,170.53,29.82,1.54,9.04,1.30,0.76,91.20,2.80,0.24,16.38,2.57,1.22,107.00,1.25,7.34,76.66,62.83,18.90,10.74,0.03,11.15,2.77,0.04,13.01,38.12,148.85,56.84,135.53,-0.24,-1.43
Italy,36449.26,0.90,82.85,10.74,59240.33,46.83,-269.89,-4.56,-241.86,-0.41,,410.49,5.50,6.93,1.28,0.62,105.90,680.37,11.49,82.85,68.12,20.71,9.65,0.93,2.25,409.70,1.13,2.73,12.12,54.25,20.14,51.13,28.02,0.47
New Caledonia,37247.49,,,,287.80,33.23,2.41,8.35,1.23,0.43,,4.16,0.23,14.42,2.03,0.97,105.90,1.75,6.06,79.02,65.11,19.35,10.44,0.04,10.67,4.12,0.05,12.35,30.20,99.69,35.76,87.02,-1.18,-4.10
Japan,39827.13,0.93,84.78,13.37,124612.53,48.36,-756.02,-6.07,-668.44,-0.54,,818.51,7.94,6.57,1.30,0.63,105.10,1574.53,12.64,84.78,70.04,22.37,10.82,1.44,1.75,817.28,2.01,2.42,11.14,47.46,18.30,44.45,87.58,0.70
United States Virgin Islands,41976.01,,,,100.09,42.66,-0.28,-2.79,-0.50,-0.50,,1.15,0.08,11.44,2.13,1.03,103.90,1.43,14.23,74.72,60.49,15.78,7.07,0.01,5.55,1.14,0.01,6.47,37.83,134.71,56.23,125.28,-0.22,-2.24
Andorra,42072.32,0.86,80.37,10.56,79.03,42.47,-0.08,-0.95,1.31,1.66,41.88,0.57,0.01,7.23,1.13,0.54,106.30,0.64,8.18,80.37,65.98,19.14,9.41,0.00,5.78,0.56,0.00,6.70,14.93,73.68,21.25,66.48,1.38,17.56
France,43671.31,0.90,82.50,11.61,64531.44,41.59,37.59,0.58,58.20,0.09,,677.30,18.16,10.50,1.79,0.87,104.80,639.71,9.91,82.50,67.90,21.29,10.33,2.44,3.61,675.21,2.84,4.20,17.90,72.61,29.09,68.03,20.61,0.32
United Arab Emirates,44332.34,0.91,78.71,12.69,9365.15,32.84,78.99,8.43,76.23,0.81,85.15,96.54,0.48,10.31,1.46,0.71,104.60,17.55,1.87,78.71,64.29,17.23,7.34,0.52,5.41,96.09,0.63,6.51,16.43,71.75,22.63,64.80,-2.76,-0.30
"China, Macao SAR",45104.89,,,,686.61,37.58,4.11,6.00,8.12,1.18,58.59,6.92,0.04,10.11,1.09,0.52,108.10,2.81,4.11,85.40,70.72,22.56,10.93,0.02,2.40,6.91,0.02,3.23,8.80,37.47,12.28,33.73,4.00,5.85
United Kingdom,46869.76,0.93,80.74,13.41,67281.04,39.64,24.50,0.37,226.53,0.34,,677.22,19.18,10.08,1.56,0.75,105.50,652.72,9.72,80.74,66.12,19.94,9.39,2.45,3.62,675.12,2.81,4.10,20.36,84.78,36.44,80.34,202.03,3.01
Cuba,48436.38,0.76,73.68,12.50,11256.37,41.16,-64.51,-5.73,-71.58,-0.64,,100.45,15.06,8.92,1.44,0.69,107.30,164.95,14.65,73.68,59.19,14.87,6.88,0.40,4.00,100.10,0.52,4.99,30.48,147.27,59.46,141.12,-7.07,-0.63
"China, Hong Kong SAR",49764.79,0.95,85.47,12.23,7494.58,44.86,-10.86,-1.45,-10.86,-0.15,,42.91,0.21,5.73,0.75,0.36,107.70,53.76,7.18,85.47,70.67,22.62,11.46,0.05,1.21,42.86,0.10,1.92,6.45,37.89,11.82,35.59,0.00,0.00
New Zealand,49996.42,0.94,82.45,12.94,5129.73,36.50,29.69,5.81,67.91,1.32,52.35,63.56,1.96,12.44,1.77,0.86,105.30,33.87,6.63,82.45,67.90,21.38,10.34,0.25,3.95,63.34,0.29,4.62,20.74,75.49,32.11,70.32,38.22,7.48
Germany,51426.75,0.94,80.63,14.09,83408.55,44.87,-276.27,-3.32,36.47,0.04,,763.17,13.80,9.17,1.53,0.74,105.50,1039.44,12.49,80.63,65.98,19.38,8.97,2.34,3.06,761.16,2.79,3.63,15.21,74.10,26.26,69.98,312.74,3.76
Belgium,51850.40,0.94,81.88,12.38,11611.42,40.87,6.17,0.53,58.52,0.50,137.53,116.45,1.67,10.05,1.58,0.77,104.70,110.28,9.52,81.88,67.25,20.33,9.75,0.40,3.47,116.10,0.46,3.97,16.01,65.96,26.20,61.61,52.36,4.52
Israel,52129.52,0.92,82.26,13.34,8900.06,29.04,124.49,14.00,141.35,1.59,43.65,174.34,2.59,19.61,2.98,1.44,105.40,49.85,5.61,82.26,67.60,20.23,9.70,0.53,3.03,173.88,0.66,3.73,11.89,56.18,18.73,52.08,16.86,1.90
Canada,52358.62,0.94,82.66,13.83,38155.01,40.16,76.49,2.01,271.67,0.71,97.35,373.73,6.98,9.82,1.46,0.71,105.40,297.24,7.81,82.66,68.12,21.12,10.08,1.60,4.28,372.36,1.83,4.89,19.25,64.59,26.95,59.22,195.18,5.13
Austria,53517.89,0.92,81.58,12.26,8922.08,42.75,-5.04,-0.57,15.27,0.17,,84.65,1.16,9.50,1.47,0.71,105.50,89.69,10.06,81.58,66.92,19.89,8.98,0.24,2.86,84.44,0.30,3.57,15.44,62.78,23.71,58.76,20.31,2.28
Finland,53559.98,0.94,82.04,12.87,5535.99,42.37,-10.39,-1.88,4.54,0.08,,46.89,0.61,8.48,1.39,0.67,105.10,57.28,10.36,82.04,67.28,20.28,9.27,0.09,1.93,46.81,0.11,2.35,16.17,63.65,26.75,60.81,14.93,2.70
San Marino,54982.45,0.85,80.88,10.80,33.75,46.28,-0.19,-5.59,-0.15,-0.45,,0.20,0.00,5.99,1.13,0.54,106.60,0.39,11.58,80.88,66.17,18.96,8.75,0.00,2.48,0.20,0.00,3.16,9.53,62.36,18.23,58.90,0.04,1.22
